Address,Postal Code,County,Price,NotMP,VATEx
"9 Eden Park Rd, Goatstown, Dublin 14",Dublin 14,Dublin,670000,No,No
"Glenross, Kellystown Road, Sandyford",,Dublin,245000,No,No
"Lisheen, Dundrum Rd, Dundrum Dublin 14",Dublin 14,Dublin,485000,No,No
"11 Holywell Heights, Swords, Dublin",,Dublin,264500,No,No
"13 Chandlers Guild, Jamess St, Dublin 8",Dublin 8,Dublin,202000,No,No
"13 Homelawn Ave, Tallaght, Dublin 24",Dublin 24,Dublin,270000,No,No
"14 Dodderbrook Walk, Dodderbrook  Oldcourt Road, Ballycullen",,Dublin,350220,No,Yes
"17 Belfry Dr, Citywest Dublin 24, Dublin",Dublin 24,Dublin,235000,No,No
"174 Trimbleston, Goatstown Rd, Dublin 14",Dublin 14,Dublin,800000,No,No
"23 Eden Villas, Glasthule, Dublin",,Dublin,525000,No,No
"24 Sycamore Rd, Dundrum, Dublin 16",Dublin 16,Dublin,585000,No,No
"278 Mourne Rd, Drimnagh, Dublin City",Dublin 12,Dublin,400000,No,No
"28 Main St, Howth, Dublin",Dublin 13,Dublin,675000,No,No
"3 Elder Heath Green, Elder Heath, Kiltipper Road",,Dublin,268722,No,Yes
"30 Lanesborough Dr St Margarets, Dublin 11, Dublin",Dublin 15,Dublin,262000,No,No
"33 Hampton, Santry Cross, Ballymun Dublin 9",Dublin 11,Dublin,130000,No,No
"4 Annadale Cresent, Marino, Dublin 9",Dublin 9,Dublin,385000,No,No
"48 Larkfield Heath, Clay Farm, Stillorgan",,Dublin,502203,No,Yes
"5 Dodderbrook Glade, Ballycullen, Dublin 24",,Dublin,405286,No,Yes
"54 Pembroke Cottages, Donnybrook, Dublin 4",Dublin 4,Dublin,412500,No,No
"57 Adamstown Park, St. Helen'S, Adamstown",,Dublin,308370,No,Yes
"6 Belarmine Park, Enniskerry Rd, Stepaside Dublin 18",Dublin 18,Dublin,825000,No,No
"67 Cowper Rd, Rathmines, Dublin 6",Dublin 6,Dublin,1115000,No,No
"7 Stanford Park, Westminster Road, Foxrock",Dublin 18,Dublin,1004406,No,Yes
"1 Albert Rd Lower, Sandycove, Dublin",,Dublin,836000,No,No
"1 Castlebyrne Park, Blackrock, Dublin",,Dublin,435000,No,No
"11 St. Helen'S Walk, St. Helen'S, Adamstown",,Dublin,330396,No,Yes
"12 Comyn Manor, Seatown Road, Swords",,Dublin,418502,No,Yes
"12 St Brigids Cottages, Clondalkin, Dublin",Dublin 22,Dublin,310000,No,No
"13 Mayston Square, St Margarets, Dublin 11",Dublin 11,Dublin,180000,No,No
"15 Beresford Crescent, Donabate",,Dublin,378854,No,Yes
"15 Comyn Manor, Seatown Road, Swords",,Dublin,418502,No,Yes
"152 Waterville Terrace, Blanchardstown Dublin 15, Dublin",Dublin 15,Dublin,270000,No,No
"155 Ballyfermot Rd, Ballyfermot, Dublin",Dublin 10,Dublin,195000,Yes,No
"19 Silverwood Road, Rathfarnham, Dublin 14",Dublin 14,Dublin,520000,No,No
"2 Beaumont Hall, Beaumont, Dublin 9",Dublin 9,Dublin,235000,No,No
"22 Offington Avenue, Sutton, Dublin 13",Dublin 13,Dublin,745000,No,No
"26 Beechwood Heath, Beechwood, Hansfield",Dublin 15,Dublin,281938,No,Yes
"26 Parklands, Castleside, Rathfarnham",Dublin 14,Dublin,205000,No,No
"3 The Kilns, Station Rd, Portmarnock",Dublin 13,Dublin,580000,No,No
"30 Rathborne Square, Rathborne, Ashtown",,Dublin,321586,No,Yes
"32 Beechwood Heath, Beechwood, Hansfield",Dublin 15,Dublin,281938,No,Yes
"32 Parkside Gardens, Balgriffin, Dublin 13",Dublin 13,Dublin,290748,No,Yes
"4 Lad Lane, 4 Fitzwilliam Place, Dublin 2",Dublin 2,Dublin,1250000,No,No
"41 Ring St, Inchicore, Dublin 8",Dublin 8,Dublin,315000,No,No
"42 Millers Avenue, Millers Glen, Swords",,Dublin,290748,No,Yes
"61 Beaumont Rd, Dublin 9, Dublin",Dublin 9,Dublin,517500,No,No
"7 Thornleigh Place, Swords, Dublin",,Dublin,277000,No,No
"70 Ennafort Rd, Raheny, Dublin 5",Dublin 5,Dublin,587000,No,No
"8 Athgoe Rd, Shankill, Dublin",Dublin 18,Dublin,495000,No,No
"91 Aylmer Rd, Newcastle, Dublin",Dublin 22,Dublin,300000,No,No
"Apartment 51, Ardilaun Court, Sybil Hill Road",Dublin 5,Dublin,330396,No,Yes
"Apt 17 Block A, The Glen, Bettyglen Dublin 5",Dublin 5,Dublin,225000,Yes,No
"Apt 197, The Hardwicke, Church St Dublin 7",Dublin 7,Dublin,230000,No,No
"10 Castlegate Mews, Adamstown, Lucan",,Dublin,296000,No,No
"102 Meridian Court, Royal Canal Park, Ratoath Rd Dublin 15",Dublin 7,Dublin,300000,No,No
"12 Glenbeigh Rd, Blackhorse Ave, C Rd Dublin 7",Dublin 7,Dublin,350000,No,No
"13 Merton Dr, Ranelagh, Dublin 6",Dublin 6,Dublin,922000,No,No
"142 Ashlawn Park, Ballybrack, Co Dublin",,Dublin,362000,No,No
"15 Deerhaven Park, Clonee, Dublin 15",Dublin 15,Dublin,285000,No,No
"18 Cannonbrook Ave, Lucan, Dublin",,Dublin,325000,No,No
"18 Mount Anville Lawn, Goatstown, Dublin 14",Dublin 14,Dublin,801000,No,No
"2 Holywell Laww, Feltrim, Dublin",,Dublin,314000,No,No
"2 Shangan Crescent, Ballymun, Dublin 9",Dublin 9,Dublin,210000,No,No
"23 Allendale Dr, Clonsilla, Dublin 15",Dublin 15,Dublin,445000,No,No
"23 Carriglea Walk, Firhouse, Dublin 24",Dublin 24,Dublin,422000,No,No
"24 Beechwood Heath, Beechwood, Hansfield",Dublin 15,Dublin,303965,No,Yes
"25 Marrsfield Avenue, Belltree, Clongriffin",Dublin 13,Dublin,352423,No,Yes
"25 Temple Woods, Greenhill Road, Dublin 24",Dublin 24,Dublin,321586,No,Yes
"273 Ratoath Rd, Cabra, Dublin 7",Dublin 7,Dublin,295000,No,No
"30 Grangemore Rd, Dowaghmede, Dublin 13",Dublin 13,Dublin,345000,No,No
"31 Thomas Hand St, Skerries, Dublin",,Dublin,277000,No,No
"32 Larkfield Heath, Clay Farm, Leopardstown",Dublin 18,Dublin,555066,No,Yes
"37 Stillorgan Gate, Upper Kilmacud Road, Stillorgan",,Dublin,405286,No,Yes
"38 Beechwood Heath, Beechwood, Hansfield",Dublin 15,Dublin,321586,No,Yes
"4 Kings Hall, Malahide",,Dublin,229075,No,Yes
"4 Waveney, Harbour Rd, Howth Dublin 13",Dublin 13,Dublin,295000,No,No
"40 Beechwood Heath, Beechwood, Hansfield",Dublin 15,Dublin,437665,No,Yes
"40 Bushfield Dr, Clondalkin, Dublin 22",Dublin 22,Dublin,335000,No,No
"41 The Holly, Rockfield, Dundrum Dublin 14",Dublin 16,Dublin,360000,No,No
"42 Park Blvd, Tyrellstown, Dublin 15",Dublin 15,Dublin,240000,No,No
"45 Marsham Court, Stillorgan, Dublin",,Dublin,540000,No,No
"47 Delhurst Terrace, Ongar Park, Dublin 15",Dublin 15,Dublin,275000,No,No
"50 Portersfield, Clonsilla, Dublin 15",Dublin 15,Dublin,266500,No,No
"52 Brighton Wood, Brighton Road, Foxrock",,Dublin,682819,No,Yes
"56 Home Farm Rd, Drumcondra, Dublin 9",Dublin 9,Dublin,650000,No,No
"6 Ayrefield Ave, Ayrfield Est, Coolock Dublin 13",Dublin 13,Dublin,247500,Yes,No
"8 St. Helen'S Chase, St. Helen'S, Adamstown",,Dublin,264317,No,Yes
"8 White Pines Drive, Stocking Avenue, Rathfarnham",Dublin 24,Dublin,365647,No,Yes
"93 Clon Brugh, Aikens Village, Sandyford Dublin 18",Dublin 18,Dublin,465000,No,No
"Apartment 18 Ardilaun Court, Sybil Hill Road, Raheny",,Dublin,431718,No,Yes
"Apt 5 Dock Mill, Barrow Street, Dublin 4",,Dublin,352000,No,No
"Apt 75, South Gate, Cork St Dublin 8",Dublin 8,Dublin,365000,No,No
"Apt 84, Bachelors Walk, Dublin 1",Dublin 1,Dublin,240000,No,No
"1 Broadfield Grange, Broadfield Manor, Rathcoole",,Dublin,378855,No,Yes
"10 Glenabbey Rd, Mount Merrion, Blackrock",,Dublin,929000,No,No
"10 St Annes Terrace, Raheny Dublin 5",,Dublin,620000,No,No
"108 Millpark, Old Nangor Rd, Clondalkin Dublin 22",Dublin 22,Dublin,200000,No,No
"11 Chapel Farm Sq, Lusk, Dublin",,Dublin,284000,No,No
"12 Ashley Court 31 Clyde Rd, Ballsbridge, Dublin 4",Dublin 4,Dublin,665000,No,No
"120 Park Drive Ave, Castleknock, Dublin 15",Dublin 15,Dublin,395000,No,No
"131 Chapelgate, St Alphonsus Rd, Drumcondra",Dublin 9,Dublin,580000,No,No
"14 The Orchard, Monkstown Valley, Blackrock",,Dublin,387000,No,No
"15 Park View, Rathborne, Ashtown Dublin 15",Dublin 15,Dublin,310000,No,No
"17 Frankfort Ave, Rathgar, Dublin 6",Dublin 6,Dublin,951000,No,No
"17 Mount Garritt Rise, Tyrrelstown, Dublin 15",,Dublin,307500,No,No
"17 St Kevins Rd Portabello, Dublin 8, Dublin",Dublin 15,Dublin,730000,No,No
"18 Clifden Terrace, Ballyfermot, Dublin 10",Dublin 10,Dublin,232500,No,No
"18 Elder Heath Walk, Elder Heath, Kiltipper Road",,Dublin,259911,No,Yes
"194 Littlepace Woods, Clonee, Dublin 15",Dublin 15,Dublin,330000,No,No
"2 Abbey Well, Chapel Rd, Kinsealy",,Dublin,190500,Yes,No
"2 Ennafort Ave, Raheny, Dublin 5",Dublin 5,Dublin,646000,No,No
"21 Upper George'S Street, Dun Laoghaire",,Dublin,472500,No,Yes
"23 Mount Andrew Ave, Lucan, Dublin",,Dublin,294000,No,No
"25 Rathgeal, Deansrath, Clondalkin Dublin 22",Dublin 22,Dublin,180000,No,No
"27 Applewood Ave West, Applewood Village, Swords Dublin",,Dublin,240000,No,No
"27 Landsdowne Park, Knocklyon, Dublin 16",Dublin 16,Dublin,154700,No,No
"29 Bramley Crescent, Castleknock, Dublin 15",Dublin 15,Dublin,425000,No,No
"2H Rathborne Dr, Ashtown, Dublin 15",Dublin 15,Dublin,287000,No,No
"3 Curragh Hall Rd, Tyrrelstown, Dublin 15",Dublin 15,Dublin,235000,No,No
"3 Stepaside Lane, Stepaside, Dublin 18",Dublin 18,Dublin,727643,No,Yes
"30 Holly Stown Park, Hollystown, Dublin 15",Dublin 15,Dublin,440000,No,No
"31 Foxborough Ave, South Lucan, Dublin",,Dublin,290000,No,No
"33 The Lodge, Seabrook Manor, Portmarnock",Dublin 13,Dublin,310000,No,No
"35 Moylaragh Mew, Ballbriggan, Dublin",,Dublin,160000,No,No
"37 Dun Emer Rd, Sandyford Rd, Dublin 16",Dublin 16,Dublin,630000,No,No
"37 Tullyhall Dr Lucan, Dublin",,Dublin,357000,No,No
"39 St Marys Lane, Ballsbridge, Dublin 4",Dublin 4,Dublin,650000,No,No
"3A Shanowen Crescent, Santry, Dublin 9",Dublin 9,Dublin,355000,No,No
"4 Temple Court, Northwood Estate, Santry",Dublin 9,Dublin,240000,No,No
"42 Lanndale Lawns, Tallaght, Dublin 24",Dublin 24,Dublin,238000,No,No
"43 Adamstown Park, St Helens, Adamstown",,Dublin,308371,No,Yes
"460 North Circular Rd, Dublin 1",Dublin 1,Dublin,571600,No,No
"47 City Gate, St Augustine St, Dublin 8",Dublin 8,Dublin,216500,No,No
"47 La Touche Road, Dublin 12",Dublin 12,Dublin,218000,No,No
"47 The Bridge, Dublin Rd, Shankill",Dublin 18,Dublin,295000,No,No
"5 Abbey St, Howth, Dublin 13",Dublin 13,Dublin,840000,No,No
"563 North Circular Rd, Dublin 1, Dublin",Dublin 7,Dublin,700000,No,No
"57 Westbourne Dr, Clondalkin, Dublin 22",Dublin 22,Dublin,250000,Yes,No
"61 Coolgreena Rd, Beaumont, Dublin 9",Dublin 9,Dublin,350000,No,No
"62 Sutton Park, Sutton, Dublin 13",Dublin 13,Dublin,676000,No,No
"65 College Gate, Castleknock, Dublin 15",Dublin 15,Dublin,350000,No,No
"7 Boyne House, Custom House Sq, Mayor St Lower",Dublin 1,Dublin,280000,No,No
"74 Ardilaun Court, Sybil Hill Road, Raheny",Dublin 5,Dublin,585903,No,Yes
"8 Bracken Hill, Blackglen Rd, Sandyford",Dublin 18,Dublin,343000,No,No
"8 Kingston Crescent, Ballinteer Rd, Dublin 16",Dublin 16,Dublin,424760,Yes,No
"8 The Willow, Stepaside, Parkview Appartments Dublin 18",Dublin 18,Dublin,25000,No,No
"80 Mountain View Park, Rathfarnham, Dublin 14",Dublin 14,Dublin,345000,No,No
"9 Kilcross Dr, Sandyford, Dublin 18",Dublin 18,Dublin,375000,No,No
"9 St Patricks Terrace, Monkstown Farm, Dunlaoghaire",,Dublin,440000,No,No
"98 Grattan Lodge, Hole In The Wall Road, Donamaghmede",,Dublin,401000,No,No
"Apartment 46, Wellington Court, 1 Mountjoy Street",Dublin 7,Dublin,343612,No,Yes
"Apt 12, Block E, The Steelworks Dublin 1",Dublin 1,Dublin,346000,No,No
"Apt 1, 36 Morehampton Rd, Donnybrook",Dublin 4,Dublin,220000,No,No
"Apt 3  4 & 5, 34 Great Strand St, Dublin",Dublin 1,Dublin,526000,No,No
"Apt 6 Frederick Court, Frederick Lane Apartments, Dublin 1",Dublin 1,Dublin,232000,No,No
"Kewarra, Plunkett Avenue, Westminster Road",,Dublin,1300000,No,No
"No2 The Grovenor, Rathmines, Dublin 6",,Dublin,750000,No,No
"The Monastery, Mount Argus, Harolds Cross",,Dublin,4100000,No,No
"1 Luttrell Park Dr, Castleknock, Dublin 15",Dublin 15,Dublin,350000,No,No
"10 Castlegrange Park, Castaheany, Dublin 15",Dublin 15,Dublin,303000,No,No
"100 Oakwood Grove, Clondalkin, Dublin 22",Dublin 22,Dublin,310000,No,No
"105 Casino Park, Marino, Dublin 3",Dublin 3,Dublin,147000,No,No
"11 Brookwood Heights, Artane, Dublin 5",Dublin 5,Dublin,395000,No,No
"110 Adamstown Ave, Adamstown Lucan, Dublin",,Dublin,240000,No,No
"12 The Poplars, Monkstown Valley, Monkstown",,Dublin,400000,No,No
"133 Cherry Ave, Swords, Dublin",,Dublin,273000,No,No
"145 The Rectory, Stepaside, Dublin 18",Dublin 18,Dublin,290000,No,No
"15 Enniskerry Rd, Phibsborough, Dublin 7",Dublin 7,Dublin,530000,No,No
"16 Beresford Crescent, Donabate",,Dublin,378854,No,Yes
"16 Milford, Malahide, Dublin",,Dublin,720000,No,No
"18 Carrigmore Manor, Citywest, Dublin",Dublin 24,Dublin,268000,No,No
"19 Castleland Park Close, Balbriggan",,Dublin,255000,No,Yes
"19 Cooldriona Court, Main St Swords, Swords",,Dublin,180000,No,No
"19 Sullivan St, Dublin 7, Dublin",Dublin 7,Dublin,305000,No,No
"2 Clyde Rd, Ballsbridge, Dublin 4",Dublin 4,Dublin,3100000,No,No
"2 Corr Bridge Tce, Claremont Rd, Howth Dublin 13",Dublin 13,Dublin,425000,Yes,No
"21 Grangeabbey  Abbey Road, Monkstown",,Dublin,348018,No,Yes
"22  Temple Woods, Greenhills Road, Dublin 24",Dublin 24,Dublin,334801,No,Yes
"25 Camden Avenue, Royal Canal Park, Ratoath Road",Dublin 15,Dublin,400881,No,Yes
"28 Cremore Rd, Glasnevin, Dublin 11",Dublin 11,Dublin,647500,No,No
"29 Crosforge, Saggart, Co Dublin",,Dublin,325000,No,No
"31 Grange Abbey Rd, Baldoyle, Dublin 13",Dublin 13,Dublin,337500,No,No
"32 The Waterside, Charlotte Quay, Ringsend",,Dublin,330000,No,No
"39 St James Ave, Clonliffe Rd, Dublin 3",Dublin 3,Dublin,135000,Yes,No
"44 Russell Close, Russell Sq, Tallaght Dublin 24",Dublin 24,Dublin,180000,No,No
"45 Reginald St, The Coombe, Dublin 8",Dublin 8,Dublin,395000,No,No
"5 Shanliss Ave, Dublin 9, Dublin",Dublin 9,Dublin,280000,No,No
"5 Somerton Copse, Somerton, Newcastle Road",,Dublin,290749,No,Yes
"539 Howth Rd, Raheny, Dublin 5",Dublin 5,Dublin,755000,No,No
"54 Oak Rd, Donnycarney, Dublin 9",Dublin 9,Dublin,150000,Yes,No
"6 Goldsmith Street, North Circular Road, Dublin 7",,Dublin,350000,No,No
"6 The Gallops, Mooretown St Cronins, Swords",,Dublin,230000,No,No
"61 Crumlin Rd, Dublin 12, Dublin",Dublin 12,Dublin,475000,No,No
"66 Rosepark, Balrothery, Balbriggan",,Dublin,287000,No,No
"7 St. Helen'S Downs, St. Helen'S, Adamstown",,Dublin,255506,No,Yes
"8 Loreto Terrace, Grange Rd, Rathfarnham Dublin 14",Dublin 14,Dublin,505000,No,No
"9 Old St, Malahide, Dublin",,Dublin,19750,No,No
"Apt 1 2 3 4 5 And 6, 35 Montpellier Hill, Dublin 7",Dublin 7,Dublin,780000,No,No
"Apt.156 Park West Pointe, The Crescent Building, Dublin 12",Dublin 12,Dublin,158000,No,No
"Moss Cottage, Sandy Road, Rush",,Dublin,130000,No,No
